Date,QQQ,AAPL-Close,MSFT-Close,AMZN-Close,GOOG-Close,FB-Close
2022-01-03T06:00:00.000Z,379.86,172.17,314.04,3251.08,2740.09,331.79
2022-01-10T06:00:00.000Z,380.01,173.07,310.2,3242.76,2795.73,331.9
2022-01-17T06:00:00.000Z,351.69,162.41,296.03,2852.86,2601.84,303.17
2022-01-24T06:00:00.000Z,351.8,170.33,308.26,2879.56,2665.79,301.71
2022-01-31T06:00:00.000Z,358.01,172.39,305.94,3152.79,2860.32,237.09
2022-02-07T06:00:00.000Z,347.06,168.64,295.04,3065.87 ,2682.60 ,219.55
2022-02-14T06:00:00.000Z,341.51,167.3,287.93,3052.03 ,2609.35 ,206.16
2022-02-21T06:00:00.000Z,345.77,164.85,297.31,3075.77 ,2690.39 ,210.48
2022-02-28T06:00:00.000Z,337.3,163.17,289.86,2912.82 ,2642.44 ,200.06
2022-03-07T06:00:00.000Z,324.4,154.73,280.07,2910.49 ,2609.51 ,187.61
2022-03-14T05:00:00.000Z,351.49,163.98,300.43,3225.01 ,2736.03 ,216.49
2022-03-21T05:00:00.000Z,359.35,174.72,303.68,3295.47 ,2830.43 ,221.82
2022-03-28T05:00:00.000Z,361.85,174.31,309.42,3271.20 ,2814.00 ,224.85
2022-04-04T05:00:00.000Z,349.15,170.09,296.97,3089.21 ,2680.21 ,222.33
2022-04-11T05:00:00.000Z,338.43,165.29,279.83,3034.13 ,2545.06 ,210.18
2022-04-18T05:00:00.000Z,325.4,161.79,274.03,2887.00 ,2392.28 ,184.11
2022-04-25T05:00:00.000Z,313.25,157.65,277.52,2485.63 ,2299.33 ,200.47
