Date,QQQ,AAPL-Close,MSFT-Close,AMZN-Close,GOOG-Close,FB-Close
2021-06-14T05:00:00.000Z,342.63,130.46,259.43,3486.9,2511.35,329.66
2021-06-21T05:00:00.000Z,349.46,133.11,265.02,3401.46,2539.9,341.37
2021-06-28T05:00:00.000Z,358.64,139.96,277.65,3510.98,2574.38,354.7
2021-07-05T05:00:00.000Z,361.01,145.11,277.94,3719.34,2591.49,350.42
2021-07-12T05:00:00.000Z,357.6,146.39,280.75,3573.63,2636.91,341.16
2021-07-19T05:00:00.000Z,368.2,148.56,289.67,3656.64,2756.32,369.79
2021-07-26T05:00:00.000Z,364.57,145.86,284.91,3327.59,2704.42,356.3
2021-08-02T05:00:00.000Z,368.05,146.14,289.46,3344.94,2740.72,363.51
2021-08-09T05:00:00.000Z,368.82,149.1,292.85,3293.97,2768.12,363.18
2021-08-16T05:00:00.000Z,367.73,148.19,304.36,3199.95,2768.74,359.37
2021-08-23T05:00:00.000Z,376.04,148.6,299.72,3349.63,2891.01,372.63
2021-08-30T05:00:00.000Z,381.57,154.3,301.14,3478.05,2895.5,376.26
2021-09-06T05:00:00.000Z,376.59,148.97,295.71,3469.15,2838.42,378.69
2021-09-13T05:00:00.000Z,373.83,146.06,299.87,3462.52,2829.27,364.72
2021-09-20T05:00:00.000Z,373.33,146.92,299.35,3425.52,2852.66,352.96
2021-09-27T05:00:00.000Z,360.18,142.65,289.1,3283.26,2729.25,343.01
2021-10-04T05:00:00.000Z,361.16,142.9,294.85,3288.62,2801.12,330.05
2021-10-11T05:00:00.000Z,368.94,144.84,304.21,3409.02,2833.5,324.76
2021-10-18T05:00:00.000Z,374.1,148.69,309.16,3335.55,2772.5,324.61
2021-10-25T05:00:00.000Z,386.11,149.8,331.62,3372.43,2965.41,323.57
2021-11-01T05:00:00.000Z,398.6,151.28,336.06,3518.99,2984.82,341.13
2021-11-08T06:00:00.000Z,394.7,149.99,336.72,3525.15,2992.91,340.89
2021-11-15T06:00:00.000Z,403.99,160.55,343.11,3676.57,2999.05,345.3
2021-11-22T06:00:00.000Z,391.2,156.81,329.68,3504.56,2856.12,333.12
2021-11-29T06:00:00.000Z,383.13,161.84,323.01,3389.79,2850.41,306.84
2021-12-06T06:00:00.000Z,398.01,179.45,342.54,3444.24,2973.5,329.75
2021-12-13T06:00:00.000Z,384.91,171.14,323.8,3400.35,2856.06,333.79
2021-12-20T06:00:00.000Z,396.92,176.28,334.69,3421.37,2942.85,335.24
2021-12-27T06:00:00.000Z,397.85,177.57,336.32,3334.34,2893.59,336.35
